time,U_R1,U_R2,U_Rb1,U_Rb2,U_Id1,I_E1,I_E2,I_L1,I_Cb1,I_C1,I_R1,I_R2,I_Rb1,I _Rb2, I_Id1, U_E1, U_E2, U_L1, U_Cb1, U_C1 
0,0.979672,1.46975e-09,0.0195935,0.000734874,0.000734874,-0.000979673,-1.46975e-09,1.46975e-09,0.000979672,0.000979673,0.000979672,1.46975e-12,0.000979673,7.34874e-10,2.86676e-14,1,3.14159e-07,0.979672,0.000734874,1.46975e-09
5e-13,0.979192,2.44894e-09,0.0195839,0.00122447,0.00122447,-0.000979194,-2.44894e-09,2.44894e-09,0.000979193,0.000979194,0.000979192,2.44894e-12,0.000979194,1.22447e-09,4.82216e-14,1,6.28319e-07,0.979192,0.00122447,2.44894e-09
1e-12,0.978233,4.40542e-09,0.0195647,0.00220271,0.00220271,-0.000978237,-4.40541e-09,4.40541e-09,0.000978235,0.000978237,0.000978233,4.40542e-12,0.000978237,2.20271e-09,8.84117e-14,1,1.25664e-06,0.978234,0.00220271,4.40542e-09
2e-12,0.976318,8.31072e-09,0.0195265,0.00415535,0.00415535,-0.000976326,-8.31069e-09,8.31069e-09,0.000976322,0.000976326,0.000976318,8.31072e-12,0.000976326,4.15535e-09,1.73301e-13,1,2.51327e-06,0.976321,0.00415535,8.31072e-09
4e-12,0.972504,1.60909e-08,0.0194504,0.0080454,0.0080454,-0.00097252,-1.60908e-08,1.60908e-08,0.000972512,0.00097252,0.000972504,1.60909e-11,0.00097252,8.0454e-09,3.6266e-13,1,5.02655e-06,0.972509,0.0080454,1.60909e-08
8e-12,0.964936,3.15304e-08,0.0192993,0.015765,0.015765,-0.000964967,-3.15299e-08,3.15299e-08,0.000964951,0.000964967,0.000964936,3.15304e-11,0.000964967,1.5765e-08,8.3372e-13,1,1.00531e-05,0.964946,0.015765,3.15304e-08
1.6e-11,0.950032,6.19334e-08,0.0190019,0.030966,0.030966,-0.000950094,-6.19316e-08,6.19316e-08,0.000950063,0.000950094,0.000950032,6.19334e-11,0.000950094,3.0966e-08,2.29037e-12,1,2.01062e-05,0.950052,0.030966,6.19334e-08
3.2e-11,0.921131,1.20893e-07,0.018425,0.0604441,0.0604441,-0.000921252,-1.20887e-07,1.20887e-07,0.000921191,0.000921251,0.000921131,1.20893e-10,0.000921252,6.04441e-08,9.22437e-12,1,4.02124e-05,0.921171,0.0604441,1.20893e-07
6.4e-11,0.866738,2.31866e-07,0.0173394,0.115923,0.115923,-0.000866969,-2.31839e-07,2.31839e-07,0.000866853,0.000866969,0.000866738,2.31866e-10,0.000866969,1.15923e-07,8.53637e-11,1,8.04248e-05,0.866818,0.115923,2.31866e-07
1.28e-10,0.770071,4.29113e-07,0.01541,0.214519,0.214519,-0.0007705,-4.29019e-07,4.29019e-07,0.000770281,0.000770499,0.000770071,4.29113e-10,0.0007705,2.14519e-07,3.82939e-09,1,0.00016085,0.770232,0.214519,4.29113e-07
2.56e-10,0.61582,7.44794e-07,0.0123313,0.371848,0.371848,-0.000616565,-7.44483e-07,7.44483e-07,0.000614566,0.000616564,0.00061582,7.44794e-10,0.000616565,3.71848e-07,1.62633e-06,1,0.000321699,0.616142,0.371848,7.44794e-07
5.12e-10,0.488858,1.24666e-06,0.00980207,0.501339,0.501339,-0.000490104,-1.24573e-06,1.24573e-06,0.000252912,0.000490102,0.000488858,1.24666e-09,0.000490104,5.01339e-07,0.00023669,1,0.000643398,0.489501,0.501339,1.24666e-06
1.024e-09,0.472064,2.21798e-06,0.00948559,0.518448,0.518448,-0.000474279,-2.21516e-06,2.21516e-06,1.67082e-05,0.000474277,0.000472064,2.21798e-09,0.000474279,5.18448e-07,0.000457053,1,0.0012868,0.473351,0.518448,2.21798e-06
2.048e-09,0.471083,4.16454e-06,0.00950476,0.519408,0.519408,-0.000475238,-4.15525e-06,4.15525e-06,4.68905e-07,0.000475234,0.000471083,4.16454e-09,0.000475238,5.19408e-07,0.00047425,1,0.00257359,0.473656,0.519408,4.16454e-06
4.096e-09,0.470787,8.08714e-06,0.00957683,0.519628,0.519628,-0.000478841,-8.05411e-06,8.05411e-06,5.35609e-08,0.000478833,0.000470787,8.08714e-09,0.000478841,5.19628e-07,0.000478268,1,0.00514719,0.475935,0.519628,8.08714e-06
8.192e-09,0.470238,1.60522e-05,0.00972329,0.520023,0.520023,-0.000486165,-1.59271e-05,1.59271e-05,4.82614e-08,0.000486149,0.000470238,1.60522e-08,0.000486165,5.20023e-07,0.000485596,1,0.0102944,0.480532,0.520023,1.60522e-05
1.6384e-08,0.469134,3.24715e-05,0.0100222,0.520811,0.520811,-0.000501109,-3.19744e-05,3.19744e-05,4.80979e-08,0.000501076,0.000469134,3.24715e-08,0.000501109,5.20811e-07,0.00050054,1,0.0205887,0.489723,0.520811,3.24715e-05
3.2768e-08,0.466912,6.73443e-05,0.0106437,0.522377,0.522377,-0.000532184,-6.52725e-05,6.52725e-05,4.77908e-08,0.000532117,0.000466912,6.73443e-08,0.000532184,5.22377e-07,0.000531614,1,0.0411774,0.508089,0.522377,6.73443e-05
6.5536e-08,0.462413,0.000145849,0.0119818,0.525459,0.525459,-0.00059909,-0.000136676,0.000136676,4.7027e-08,0.000598944,0.000462413,1.45849e-07,0.00059909,5.25459e-07,0.000598517,1,0.082354,0.544767,0.525459,0.000145849
1.31072e-07,0.453247,0.000342869,0.0150383,0.531372,0.531372,-0.000751915,-0.000298668,0.000298668,4.51084e-08,0.000751572,0.000453247,3.42869e-07,0.000751915,5.31372e-07,0.000751339,1,0.164702,0.61795,0.531372,0.000342869
